,words,positions
0,,[0]
1,(,"[1170, 2454, 5149, 13475]"
2,),"[1203, 2519, 5222, 13560]"
3,-,"[1470, 3053, 8873]"
4,.,"[133, 357, 734, 1947, 8085, 16229]"
5,//kiau,[12614]
6,//web,[12571]
7,:,"[1524, 11429, 23995]"
8,ac,[12617]
9,archive,[12579]
10,html,[12640]
11,http,"[12564, 25171]"
12,https,[12565]
13,ir/vt/virtualtour,[12635]
14,org/web/,[12588]
15,«,[]
16,»,[]
17,،,"[45, 161, 695, 1473, 5970, 12451, 25253]"
18,؛,[576]
19,آخرین,[6092]
20,آرام,[10316]
21,آزاد,"[14, 74, 229, 492, 1117, 2380, 8547, 19903, 19906, 19909, 19912, 19915, 19918, 19921, 19924, 19927, 19930, 19933, 19936, 19939, 19942, 19945]"
22,آزمایشگاه,"[565, 6295, 17851, 17859, 17867]"
23,آسیب,[3513]
24,آشنا,[12318]
25,آغاز,[1208]
26,آل,"[2083, 5812, 19682, 19683]"
27,آلاچیق,"[13874, 27800]"
28,آماده,"[10686, 22117, 22121, 22125]"
29,آمد,[12164]
30,آمف,[13119]
31,آموخته,[501]
32,آموز,"[766, 1948, 7644, 16957, 16960, 16963, 16966, 16969, 16972, 16975, 16978, 16981, 16984, 16987, 16990, 16993, 16996, 16999]"
33,آموزش,"[767, 1950, 7647, 16961, 16965, 16969, 16973, 16977, 16981, 16985, 16989, 16993, 16997, 17001, 17005, 17009, 17013]"
34,آموزشکده,"[1186, 7445, 20910]"
35,آن,"[1989, 4025, 9001, 18071, 18072, 18073, 18074, 18075, 18076, 18077, 18078, 18079, 18080, 18081, 18082, 18083, 18084, 18085, 18086]"
36,آنالیز,"[1993, 4033, 4038]"
37,آینده,[11741]
38,ابتدا,"[5712, 11491]"
39,ابلاغ,"[7880, 20653]"
40,اتم,[3635]
41,اتوبوس,"[11835, 23764, 23769]"
42,اجتماع,"[8232, 18872, 18877, 18882, 18887, 18892, 18897, 18902]"
43,اجرا,"[8269, 18528]"
44,احکا,[7466]
45,اد,"[14, 74, 229, 492, 1013, 2119, 4422, 9113, 18311, 18312, 18313, 18314, 18315, 18316, 18317, 18318, 18319, 18320, 18321, 18322, 18323, 18324, 18325, 18326, 18327, 18328, 18329, 18330, 18331, 18332, 18333, 18334, 18335, 18336, 18337, 18338, 18339, 18340, 18341, 18342, 18343, 18344, 18345, 18346, 18347, 18348, 18349, 18350, 18351, 18352, 18353, 18354, 18355, 18356, 18357, 18358, 18359, 18360, 18361, 18362, 18363, 18364, 18365, 18366, 18367, 18368, 18369, 18370, 18371, 18372, 18373, 18374, 18375, 18376, 18377, 18378, 18379, 18380, 18381, 18382, 18383, 18384, 18385, 18386, 18387, 18388, 18389, 18390]"
46,ادار,"[6629, 16804, 16807]"
47,اداره,[11078]
48,ادب,"[1551, 3123, 7998, 8000, 8002, 8004, 8006, 8008, 8010, 8012, 8014, 8016, 8018, 8020, 8022]"
49,ادویه,[4072]
50,ارائه,"[6464, 13234, 27018, 27022, 27026]"
51,ارتباط,"[9325, 21503]"
52,ارتوپد,[11613]
53,اردو,"[7350, 17448]"
54,ارز,"[4512, 18288]"
55,ارزیاب,[4515]
56,ارشد,"[1398, 4346]"
